rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
43,Ohio,13,10,3,Iowa State,1741.9421243634786,10863.33115668099,1526.3827342723412
44,Utah,13,8,5,Southern California,1793.0060492096156,10860.853567983095,1742.5459139565246
45,Fresno State,13,9,4,Boise State,1668.6552697259624,10737.681977638333,1501.526357810933
46,Oregon State,13,8,5,Utah,1742.5459139565246,10695.102489864703,1828.6773052757062
47,UCLA,13,8,5,Southern California,1793.0060492096156,10660.4169878937,1688.163999382132
48,Boise State,14,8,6,San Jose State,1574.6682159117918,10144.52175656268,1668.6552697259624
49,Virginia Tech,13,7,6,Tulane,1678.8020582037313,10134.569760712766,1740.6031822795035
50,Nevada-Las Vegas,14,9,5,Wyoming,1550.3095893343016,9975.51649323843,1531.6552127341974
51,Wisconsin,13,7,6,Rutgers,1677.5509173525536,9914.074101242979,1629.2633431173547
52,Maryland,13,8,5,Rutgers,1677.5509173525536,9899.882411887158,1755.9506217856122
53,Miami (FL),13,7,6,Clemson,1897.7862421277437,9853.864886159794,1694.5910962051296
54,Georgia Tech,13,7,6,Miami (FL),1694.5910962051296,9674.771688985731,1671.2075143921209
55,Rutgers,13,7,6,Northwestern,1742.955302499401,9522.682625422323,1677.5509173525536
56,Boston College,13,7,6,Georgia Tech,1671.2075143921209,9521.311206071681,1537.6357625729654
57,Iowa State,13,7,6,Kansas State,1955.016551577633,9424.586063941882,1741.9421243634786
58,Texas Tech,13,7,6,Kansas,1854.656418899413,9260.179345584862,1707.7169592713472
59,Jacksonville State,13,9,4,Western Kentucky,1496.8408512052401,9193.884074219237,1473.4629611774599
60,Minnesota,13,6,7,Iowa,1825.8150746004678,8601.48472754284,1491.7431812832795
61,Texas A&M,13,7,6,South Carolina,1572.4547560819763,8580.03962988972,1675.462765118354
62,Texas State,13,8,5,South Alabama,1495.2570668854598,8519.224649543634,1473.1916978788668
63,South Alabama,13,7,6,Oklahoma State,1789.7888703086085,8445.039352003509,1495.2570668854598
64,Kentucky,13,7,6,Louisville,1826.5959306741106,8389.944364995059,1765.2418339547985
65,California,13,6,7,UCLA,1688.163999382132,8337.441700006882,1602.210973906273
66,San Jose State,13,7,6,Nevada-Las Vegas,1531.6552127341974,8191.615866726523,1574.6682159117918
67,Northern Illinois,13,7,6,Boston College,1537.6357625729654,8079.402602751415,1297.5085383089374
68,Western Kentucky,13,8,5,Old Dominion,1446.8249185640952,8076.202658371741,1496.8408512052401
69,Georgia State,13,7,6,Coastal Carolina,1602.4000311515283,7966.525376515561,1489.3125227298394
70,Marshall,13,6,7,Virginia Tech,1740.6031822795035,7615.769961534253,1396.9731736111864
71,Army,12,6,6,Texas-San Antonio,1604.7163918091414,7381.992625844625,1524.2467964952543
72,Illinois,12,5,7,Maryland,1755.9506217856122,7303.248516053944,1408.8362078334242
73,South Florida,13,7,6,Syracuse,1369.365895451279,7152.359984414083,1351.7184370732514
74,Old Dominion,13,6,7,Appalachian State,1682.9832108753894,7150.94983511193,1446.8249185640952
75,Syracuse,13,6,7,Army,1524.2467964952543,7076.915886389304,1369.365895451279
76,Nebraska,12,5,7,Northwestern,1742.955302499401,6887.984623264322,1497.302568626396
77,Central Florida,13,6,7,Oklahoma State,1789.7888703086085,6767.499519931483,1605.8530560305262
78,Auburn,13,6,7,California,1602.210973906273,6717.354579875726,1494.1412386658328
