team,proj_record,current_sos,current_rank,remaining_sos,remaining_rank,total_sos,total_rank
Green Bay,17.28-13.72,1465.43,198,1371.94,272,1418.68,244
Stony Brook,18.13-12.87,1395.74,256,1584.15,160,1489.95,191
Fullerton,15.77-16.23,1544.26,138,1733.31,112,1638.79,116
Jax State,14.76-16.24,1392.49,260,1542.55,184,1467.52,201
Saint Peter's,16.47-11.53,1368.23,280,1454.74,233,1411.48,250
UNC Asheville,14.74-15.26,1415.63,233,1027.33,354,1221.48,343
James Madison,17.24-13.76,1450.51,208,1439.02,239,1444.77,224
New Orleans,14-17,1652.39,102,1720.33,117,1686.36,108
Bethune,16.88-14.12,1518.66,151,1300.93,297,1409.79,251
Weber St,15.6-15.4,1457.38,202,1562.51,173,1509.95,175
C Arkansas,18.76-12.24,1448.17,212,1567.29,167,1507.73,178
Samford,17.7-13.3,1422.1,227,1149,334,1285.55,319
Southern Miss,15.36-15.64,1460.71,201,1683.49,127,1572.1,142
Cornell,13.45-13.55,1417.14,232,1490.11,213,1453.62,215
Texas St,18.52-12.48,1356.08,297,1486.43,214,1421.26,241
Abilene Chrstn,13.75-17.25,1485.02,175,1727.28,115,1606.15,129
UMBC,20.2-8.8,1211.41,364,1176.81,323,1194.11,350
Louisiana Tech,16.6-14.4,1362.68,286,1558.63,178,1460.65,204
San Diego,11.46-19.54,1610.4,112,1585.97,159,1598.19,135
Youngstown St,15.22-15.78,1296.42,336,1475.61,223,1386.02,266
Tennessee St,19.7-10.3,1326.08,318,1484.67,215,1405.38,254
Fairfield,18.37-12.63,1338.85,312,1495.8,207,1417.33,246
E Michigan,10.47-20.53,1549.57,136,1923.95,84,1736.76,97
La Salle,8.87-22.13,1684.7,96,1704.86,118,1694.78,104
Lamar,13.89-17.11,1374.7,276,1280.54,306,1327.62,297
Monmouth,15.47-15.53,1450.41,209,1433.84,243,1442.13,227
Lindenwood,17.76-13.24,1236.64,361,1002.43,359,1119.53,361
Alabama A&M,18.18-12.82,1281.5,343,1280.88,305,1281.19,322
Harvard,16.08-11.92,1399.52,252,1513.55,198,1456.54,209
Drexel,14.87-16.13,1421.83,228,1626.07,143,1523.95,165
Howard,20.47-10.53,1186.19,369,1019.72,357,1102.96,363
Purdue FW,16.78-14.22,1380.65,271,1294.55,300,1337.6,295
SE Missouri,19.32-11.68,1320.27,322,1315.83,289,1318.05,300
GA Southern,15.43-15.57,1316.86,325,1595.94,156,1456.4,210
South Dakota,15.11-15.89,1323.59,321,1409.31,253,1366.45,279
Denver,15.69-15.31,1425.64,223,1158.92,331,1292.28,316
Cal Poly,13.61-18.39,1492.39,169,1518.84,194,1505.62,180
Milwaukee,11.69-19.31,1521.37,149,1517,195,1519.19,170
Indiana St,10.52-20.48,1481.7,177,1577.3,162,1529.5,160
SIUE,18.72-12.28,1184.5,370,1002.43,359,1093.47,365
UC Riverside,9.57-22.43,1551.11,135,1661.16,131,1606.14,130
Dartmouth,12.11-14.89,1398.29,253,1469.37,225,1433.83,235
Old Dominion,10.71-20.29,1522.93,148,1462.58,230,1492.75,189
W Michigan,10.01-20.99,1490.27,172,1759.01,106,1624.64,123
Grambling,14.04-16.96,1305.53,332,1157.98,332,1231.75,338
Nicholls,12.14-18.86,1540.32,139,1524.79,189,1532.55,158
C Connecticut,17.61-11.39,1251.03,357,1098.2,343,1174.62,354
W Carolina,12.52-16.48,1478.06,181,1611.73,149,1544.9,154
Omaha,15.46-15.54,1280.64,345,1523.2,190,1401.92,257
Pepperdine,8.31-22.69,1614.33,110,1730.28,113,1672.31,112
Southern,15.07-15.93,1381.1,270,1316.34,288,1348.72,289
Rice,12.24-18.76,1557.22,131,1602.34,153,1579.78,140
Radford,16.05-14.95,1289.29,339,1309.42,293,1299.35,310
Morehead St,18.48-12.52,1311.3,328,1093.12,346,1202.21,348
Long Beach St,9.18-22.82,1560.65,130,1507.35,201,1534,157
Longwood,15.58-15.42,1236.98,360,1331.32,284,1284.15,320
Incarnate Word,12.11-18.89,1406.52,244,1529.71,187,1468.12,200
Detroit Mercy,13.66-15.34,1440.06,219,1562.71,172,1501.39,183
Bellarmine,11.88-18.12,1402.23,250,1376.33,270,1389.28,264
Princeton,9-20,1480.56,179,1572.31,165,1526.44,163
West Georgia,13.05-16.95,1395.06,257,1355.23,279,1375.15,272
Northeastern,6.99-22.01,1533.69,141,1483,219,1508.35,177
E Washington,12.18-18.82,1567.89,127,1465.76,228,1516.83,171
AR-Pine Bluff,14.17-16.83,1492.23,170,944.1,363,1218.17,344
UTEP,10.83-20.17,1449.78,210,1596.53,154,1523.16,166
Sacred Heart,12.79-18.21,1376.18,275,1417.68,249,1396.93,261
East Carolina,9.76-21.24,1611.12,111,1682.34,128,1646.73,115
SC Upstate,13.33-17.67,1380.52,272,1046.39,351,1213.45,345
E Kentucky,11.56-19.44,1493.01,168,1546.2,183,1519.6,169
Jacksonville,11.39-19.61,1407.02,243,1129.47,337,1268.24,327
Charleston So,13.37-17.63,1255.84,356,1588.12,157,1421.98,240
NJIT,16.1-14.9,1348.3,306,1250.75,312,1299.52,309
E Texas A&M,12.02-19.98,1471.86,190,1421,248,1446.43,222
Hampton,12.79-18.21,1370.58,278,1563.44,171,1467.01,202
Presbyterian,14.16-16.84,1305.59,331,1738.83,111,1522.21,167
NC A&T,11.3-17.7,1383.93,267,1721.64,116,1552.78,147
UNC Greensboro,12.67-18.33,1412.58,239,1358.35,276,1385.47,268
North Dakota,16.07-15.93,1386.36,264,1678.26,129,1532.31,159
Chattanooga,13.4-17.6,1349.34,304,1149,334,1249.17,332
C Michigan,9.79-21.21,1475.29,185,1637.68,139,1556.49,146
Delaware,9.78-21.22,1493.19,167,1560.75,176,1526.97,162
N Arizona,10.71-20.29,1387.48,263,1476.86,222,1432.17,237
Sacramento St,9.58-20.42,1462.83,199,1530.59,186,1496.71,187
Southern Utah,9.35-21.65,1518.24,153,1750.17,107,1634.2,118
Mercyhurst,15.04-15.96,1288.78,340,1170.77,324,1229.78,339
Evansville,6.42-24.58,1599.43,115,1739.4,110,1669.42,113
Le Moyne,15.29-15.71,1278.86,347,1121.48,339,1200.17,349
Mount St Marys,14.21-16.79,1404.26,247,1297.3,299,1350.78,288
Boston U,14.33-16.67,1305.95,329,1282.28,304,1294.12,315
Bucknell,9.68-21.32,1461.5,200,1162.36,330,1311.93,303
Stetson,10.64-20.36,1418.87,229,1389.83,255,1404.35,255
Manhattan,12.32-18.68,1359.85,292,1551.61,181,1455.73,211
Florida A&M,11.89-17.11,1336.57,313,1379.65,266,1358.11,285
Tennessee Tech,13.31-17.69,1290.3,338,1484.67,215,1387.49,265
Norfolk St,15.84-15.16,1264.81,353,1083.67,348,1174.24,355
E Illinois,11.44-19.56,1348.14,307,1388.27,259,1368.21,277
Georgia St,10.61-20.39,1413.84,237,1421.88,247,1417.86,245
Jackson St,11.35-19.65,1554.69,134,1041.46,352,1298.08,312
N Illinois,9.83-20.17,1470.76,192,1624.79,146,1547.77,151
New Haven,14.85-16.15,1256.62,355,1104.45,342,1180.54,353
Little Rock,12.21-18.79,1313.99,326,1162.4,329,1238.19,336
Holy Cross,10.4-20.6,1325.09,319,1192.11,321,1258.6,330
Prairie View,12.67-18.33,1293.08,337,1155.31,333,1224.2,340
Hou Christian,10.62-20.38,1383.44,268,1567.18,168,1475.31,197
Cleveland St,10.54-20.46,1348.82,305,1521.25,191,1435.04,232
Air Force,3.27-27.73,1737.51,84,1794.5,101,1766,92
Canisius,9.6-21.4,1362.34,287,1492.64,212,1427.49,238
Bakersfield,8.8-23.2,1454.1,204,1528.26,188,1491.18,190
N'Western St,9.58-21.42,1451.6,206,1467.69,227,1459.64,207
SE Louisiana,8.52-22.48,1473.89,188,1446.94,236,1460.41,205
Loyola Chicago,6.09-24.91,1669.92,98,2011.46,62,1840.69,83
UMass Lowell,14.03-16.97,1276.67,349,1313.64,292,1295.15,314
Alabama St,9.94-21.06,1425.46,224,1360.62,274,1393.04,263
UTSA,5.68-24.32,1597.56,116,1608.62,150,1603.09,133
Brown,9.31-17.69,1350.95,302,1555.35,180,1453.15,216
Oral Roberts,8.08-22.92,1449.02,211,1114.84,341,1281.93,321
UAlbany,11.51-19.49,1304.17,334,1206.2,318,1255.19,331
Texas Southern,11.73-17.27,1433.92,220,1162.98,328,1298.45,311
Lehigh,13.07-17.93,1324.92,320,1327.3,285,1326.11,299
Louisiana,10.07-20.93,1488.93,174,1698.58,122,1593.76,136
Army,11.9-19.1,1317.17,324,1169.95,325,1243.56,333
North Alabama,8.55-20.45,1361.54,291,1315.77,291,1338.66,293
Wagner,12.24-16.76,1228.33,362,1085.4,347,1156.86,358
Alcorn St,9.02-20.98,1503.74,160,1041.46,352,1272.6,325
New Hampshire,9.71-19.29,1347.77,308,1021.17,355,1184.47,352
Lafayette,9.79-21.21,1354.68,298,1378.06,267,1366.37,280
Loyola MD,11.4-19.6,1287.98,341,1379.71,265,1333.85,296
Ball State,8.87-22.13,1384.54,266,1353.54,280,1369.04,275
NC Central,12.04-16.96,1299.16,335,913.61,365,1106.39,362
IU Indy,7.28-23.72,1373.99,277,1505.41,203,1439.7,229
Bryant,8.81-21.19,1344.03,309,1276.17,309,1310.1,304
The Citadel,9.1-21.9,1358.34,295,1546.86,182,1452.6,217
FDU,11.24-19.76,1276.96,348,1414.84,251,1345.9,291
MD Eastern,10.05-20.95,1353.74,299,933.27,364,1143.51,359
Niagara,7.79-22.21,1362.32,288,1355.51,278,1358.92,283
North Florida,6.37-24.63,1503.87,159,1389.83,255,1446.85,221
VMI,6.23-24.77,1318.21,323,1358.35,276,1338.28,294
Maine,8.25-22.75,1359.75,293,1053.68,350,1206.72,347
Morgan St,12.77-16.23,1237.27,359,1097.32,345,1167.29,357
