rank,team,rating,record,best_win,best_win_elo
356,Kansas City,947,4-16,Omaha,1287.5
357,N Greenville,946.9,1-1,Gardner-Webb,791.1
358,Hawaii Pac,931.6,1-1,Boise St,1962.8
359,Bryan (TN),925.9,0-4,NA,NA
360,Chicago St,919.2,2-17,Loyola Chicago,1174.9
361,Lincoln U (CA),918.5,0-5,NA,NA
362,KCU,918.2,0-4,NA,NA
363,W Illinois,878.3,4-15,North Dakota,1242.8
364,Midway,875,0-4,NA,NA
365,SC State,866.1,4-16,Howard,1327.2
366,Binghamton,853.4,4-16,Lehigh,1155.6
367,Rider,852.8,2-16,Iona,1629.7
368,Delaware St,827,5-14,Longwood,1329.6
369,East-West,826.1,1-4,East-West,826.1
370,UL Monroe,801.5,3-16,Miss Valley St,560.1
371,Coppin St,796.5,3-18,Rider,852.8
372,Bethesda,794.8,0-7,NA,NA
373,Gardner-Webb,791.1,2-18,Toccoa Falls,600.9
374,Nobel,789.5,0-7,NA,NA
375,Penn State-She,773.1,0-4,NA,NA
376,Champ Chrstn,756.9,0-6,NA,NA
377,Barber Scotia,750,1-1,Barber Scotia,750
378,Westminster UT,729.4,0-2,NA,NA
379,WILMNGTNDE,722.9,1-0,Delaware,1252.9
380,LaGrange,714.5,0-2,NA,NA
381,Ecclesia,713.9,0-5,NA,NA
382,Milligan,712.6,0-2,NA,NA
383,Georgian Court,707.6,0-2,NA,NA
384,Brescia,702.1,0-2,NA,NA
385,Tusculum,702,0-2,NA,NA
386,UC Santa Cruz,701.4,0-2,NA,NA
387,Ohio Weslyan,701.4,0-2,NA,NA
388,NM Highlands,700.9,0-3,NA,NA
389,Tougaloo,699.6,0-2,NA,NA
390,IU East,699.3,0-2,NA,NA
391,Life Pacific,696.5,0-2,NA,NA
392,Howard Payne,696.5,0-2,NA,NA
393,Cent St OH,694.4,0-2,NA,NA
394,Evergreen,694.4,0-2,NA,NA
395,Chaminade,693.2,0-3,NA,NA
396,Illinois Tech,693.1,0-2,NA,NA
397,Averett,692.9,0-2,NA,NA
398,Columbia (SC),692.2,0-2,NA,NA
399,Blackburn,690.7,1-2,Blackburn,690.7
400,Mount Marty,690.2,0-2,NA,NA
401,Blue Mountain,689,0-2,NA,NA
402,St Mary's (MD),686.8,0-2,NA,NA
403,Pfeiffer,686,0-2,NA,NA
404,Mary Baldwin,684.9,0-2,NA,NA
405,City (NY),683.7,0-2,NA,NA
406,Rhodes,683.1,0-2,NA,NA
407,Defiance,682,0-2,NA,NA
408,CO Christian,681.6,0-2,NA,NA
409,Jarvis Chrstn,680.6,0-2,NA,NA
410,Webster,680.4,0-2,NA,NA
411,Columbia Int'l,680.3,0-2,NA,NA
412,Mid Atl Chrstn,679.1,0-5,NA,NA
413,Elizabeth City,677.6,0-2,NA,NA
414,Whittier,677.5,0-2,NA,NA
415,S Virginia,677.5,0-2,NA,NA
416,Bethany (WV),677.1,0-2,NA,NA
417,Stanton,675.1,0-2,NA,NA
418,Montana Tech,674.1,1-0,Montana,1510.4
419,Texas A&M-SA,673.7,0-2,NA,NA
420,Siena Heights,673.3,0-2,NA,NA
421,Dominican CA,672.2,0-2,NA,NA
422,SUNY-Oneonta,668.3,0-2,NA,NA
423,William Carey,668.2,0-2,NA,NA
424,Eureka,667.2,0-2,NA,NA
425,NW Indian,667,0-3,NA,NA
426,Dallas,666.3,0-2,NA,NA
427,Dominican IL,665.9,0-2,NA,NA
428,TN Wesleyan,664.2,0-2,NA,NA
429,Union (KY),663.8,0-2,NA,NA
430,Eastern Oregon,663.4,0-2,NA,NA
431,Dakota St,662.4,0-3,NA,NA
432,Reinhardt,660.8,0-2,NA,NA
433,Coastal GA,660.7,0-3,NA,NA
434,Wash Adventist,658.6,0-2,NA,NA
435,Haskell,658.4,0-2,NA,NA
436,Bethel (TN),656.3,0-2,NA,NA
437,San Fran St,655.1,0-2,NA,NA
438,Calumet,653.4,0-2,NA,NA
