season,rank,team,rating,wins,losses,best_win_name,best_win_elo
2006,163,Carnegie Mellon,1678.4975516820998,1,0,Princeton,1429.4108728059573
2006,164,Alaska,1673.6762366106716,2,1,Montana St,1572.3249453534418
2006,165,Saint Peter's,1669.5116849868216,17,15,Iona,1972.465712908006
2006,166,IUPUI,1658.939692448479,19,10,Oral Roberts,1761.0851419030882
2006,167,North Texas,1655.9822880413478,14,14,Denver,1697.8061606984459
2006,168,S Wesleyan,1655.5944238379536,1,0,Charleston So,1465.0528810237795
2006,169,Delaware St,1655.4104456752896,21,14,Kent State,1925.0294516070944
2006,170,Fordham,1653.3057722694787,16,16,Temple,1965.0486999913844
2006,171,Green Bay,1652.6718799276525,15,16,Milwaukee,1988.9764666239284
2006,172,E Washington,1648.247705669738,15,15,Sacramento St,1746.143882575833
2006,173,N Arizona,1648.1370110271832,21,11,Montana,1911.2671274376446
2006,174,Birm-Southern,1647.472773252336,19,9,High Point,1608.0391728436693
2006,175,Lenoir Rhyne,1644.6969056905257,1,0,UNC Asheville,1441.7104094194242
2006,176,Austin Peay,1644.6611042102925,17,14,Samford,1863.8752807889637
2006,177,St Xavier,1641.6191055282627,1,0,UIC,1779.9086071275499
2006,178,Richmond,1638.5531975742745,13,17,Seton Hall,2042.635430379321
2006,179,Valparaiso,1637.2478644347168,17,12,Charlotte,1796.460287370822
2006,180,Idaho St,1632.836367447622,13,14,Montana,1911.2671274376446
2006,181,Santa Clara,1624.4771226457694,13,16,Bucknell,2138.843614438017
2006,182,Troy,1624.1922138332109,14,15,Western KY,1978.4964550700379
2006,183,UCSB,1623.9667988519866,15,14,San Diego,1815.788550781682
2006,184,Albany,1623.0317138921564,21,11,Boston Univ,1506.5015002117925
2006,185,Detroit Mercy,1619.1242304540608,16,16,Butler,1914.971230160535
2006,186,San Francisco,1618.6516444270605,11,17,Texas Tech,1843.115606915966
2006,187,Little Rock,1615.4964289480295,14,15,MTSU,1709.3568133448348
2006,188,Harvard,1615.1015210127725,13,14,Holy Cross,1738.1732490536117
2006,189,Fullerton,1613.0408777253979,16,13,E Washington,1648.247705669738
2006,190,Louisiana,1609.3135719199986,13,16,UTEP,1915.8014927640004
2006,191,Long Beach St,1608.3895805757281,18,12,Manhattan,1829.9824813287842
2006,192,High Point,1608.0391728436693,16,13,Coast Car,1588.6321255783052
2006,193,Charleston,1606.0649028028058,17,11,UNC Wilmington,2052.3271283765243
2006,194,N Dakota St,1606.0181673842446,16,12,Wisconsin,2200.3688314380756
2006,195,Ball State,1606.0053420557904,10,18,Buffalo,1871.4253394680272
2006,196,J'Ville St,1601.5506460208865,16,13,Samford,1863.8752807889637
2006,197,Evansville,1597.606212011937,10,19,S Illinois,1953.4072481127514
2006,198,Niagara,1592.4313708486834,11,18,Manhattan,1829.9824813287842
2006,199,SE Louisiana,1590.2076596642692,16,12,Mississippi St,1899.3084333668467
2006,200,UT Arlington,1589.7226951222622,14,16,San Diego,1815.788550781682
2006,201,Coast Car,1588.6321255783052,20,10,Winthrop,1957.305718106104
2006,202,San José St,1586.888872967722,6,25,San Diego,1815.788550781682
2006,203,E Kentucky,1584.2649393612028,14,16,Samford,1863.8752807889637
2006,204,Ark Monticello,1582.5727691471302,1,3,UC Irvine,1708.798090362205
2006,205,Furman,1581.4887348381133,15,13,Davidson,1859.6418246184815
2006,206,Belmont,1580.7916833802205,20,11,Wright St,1577.2081595962125
2006,207,Radford,1580.1180044122136,16,13,Birm-Southern,1647.472773252336
2006,208,Puget Sound,1577.2081982199845,1,0,UC Riverside,1239.0020065740305
2006,209,Wright St,1577.2081595962125,13,15,Milwaukee,1988.9764666239284
2006,210,Fair Dickinson,1577.050870357385,20,12,Green Bay,1652.6718799276525
2006,211,Rice,1575.7640833880876,12,16,Houston,1945.9895779017845
2006,212,Elon,1574.6862347215674,15,14,Clemson,2055.3037181397644
2006,213,Appalachian St,1574.4163458249432,14,16,VCU,1897.7008720736317
2006,214,Montana St,1572.3249453534418,15,15,Sacramento St,1746.143882575833
2006,215,C Connecticut,1568.996036924432,18,11,Birm-Southern,1647.472773252336
2006,216,UCF,1567.2727749989408,14,15,Houston,1945.9895779017845
2006,217,Lehigh,1566.3501339717743,19,12,Holy Cross,1738.1732490536117
